CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.868555,3.7128951833333335,28.74566164840788,6.452191111769818,38.74652744615088,224.457909186
1,403200,1497.005988,3.712812470238095,59.049873899638385,9.861920245064587,25.350032629305932,167.010013634
1,518400,1924.616616,3.7126092129629633,30.22746675730212,3.926656587002367,63.6673960303851,129.903594586
1,614400,2281.04271,3.7126346191406254,78.97538610446776,8.656201166655503,28.88102935535087,109.60631652
1,691200,2566.102808,3.712532997685185,36.74940851323694,3.580470159929661,69.82323237820569,97.429327567
1,787200,2923.121894,3.713315414126016,60.09153582283517,5.139682319377306,48.64113858894854,85.530886322
1,883200,3278.989547,3.7126240341938406,90.84670706530244,6.926873897768031,36.09131675986691,76.247935908
1,979200,3635.464685,3.7126886080473853,48.07556800711751,3.3061989843627098,75.61553348192956,68.770877213
1,1075200,3991.761005,3.712575339471726,51.227487321645064,3.2085070605784183,77.91785876728939,62.632528518
1,1171200,4348.204192,3.712606038251366,58.11334827310513,3.341493440684467,74.8168459516085,57.499585551
1,1248000,4633.404997,3.712664260416666,63.97205539637723,3.4518502436374483,72.4249264465651,53.958720292
1,1344000,4989.721174,3.7125901592261905,66.85471395497987,3.349866138209154,74.62984778658964,50.106655762
1,1420800,5274.929316,3.712647322635135,70.39880797834032,3.336639013723691,74.92569587891975,47.396243055
1,1516800,5631.518483,3.712762712948312,74.65388232324977,3.3142813995548983,75.43113268341503,44.395298629
1,1612800,5988.310817,3.7129903379216267,80.13804785743878,3.3457711850498955,74.72118868053188,41.750095922
1,1708800,6344.372542,3.7127648302902623,82.77225290158958,3.2618877512531226,76.64273545401961,39.40798561
1,1804800,6700.616457,3.7126642603058513,93.66042006975663,3.4947495892488623,71.53588364931556,37.312982225
4,710400,6029.472059,8.487432515484235,109.70518421102427,4.550119128229464,54.94361640972676,41.475880661
4,825600,7000.448029,8.47922484132752,132.14479015979987,4.7207260148713255,52.957955876372615,35.723890508
4,940800,7981.865202,8.484125427295918,151.53557067048368,4.748230620537995,52.651191565685565,31.334099311
4,1056000,8955.437742,8.480528164772727,174.8589052567406,4.883377730270607,51.19407381704764,27.927532333
4,1171200,9941.148401,8.488002391564208,197.34364142431986,4.9653800828040495,50.34861296233742,25.16108473
4,1286400,10921.799913,8.49020515625,219.63538161554524,5.029987857892262,49.701909241736935,22.901537179
4,1382400,11728.829463,8.484396312934027,235.21041151628552,5.01614713047527,49.83904847629799,21.326212127
4,1478400,12547.681189,8.487338466585499,265.8657474164209,5.300133787557003,47.16862064631632,19.935376554
4,1574400,13351.847896,8.48059444613821,288.20429695522205,5.399567919146447,46.30000098961983,18.735209628
4,1670400,14161.898827,8.478148244133141,318.2914128912351,5.622796480971712,44.461861788174815,17.665561348
4,1766400,14991.604701,8.487095052649456,326.4466525968123,5.44777021545645,45.890334965064845,16.688087233
4,1862400,15813.776962,8.491074399699313,432.8255225723331,6.84773829336184,36.508404569483716,15.821013171
4,1958400,16589.250166,8.470818099468955,451.53613390819993,6.8105267485708225,36.70788020213885,15.083016036
4,2054400,17433.751743,8.486055170852804,471.66637808592844,6.769815214174863,36.92862982087631,14.3529739
4,2150400,18221.574344,8.473574378720238,518.9014438547691,7.12534965834886,35.08599745797344,13.731604995
4,2246400,19051.973784,8.481113685897435,568.5735603800767,7.467770936089295,33.477191807240864,13.134221245
4,2342400,19861.762136,8.479235884562842,612.2187922502497,7.712945120185456,32.413040168758364,12.598347548
4,2419200,20496.843486,8.472570885416667,662.0472144449999,8.082789374035421,30.92991644729507,12.208780881
7,844800,7162.297665,8.478098561789773,137.97763077964692,4.817754016038963,51.89139984476496,34.916920872
7,960000,8143.85302,8.483180229166667,157.3791632365331,4.8331322900447935,51.72628949448496,30.710115562
7,1075200,9111.451272,8.47419203125,185.53490298259248,5.09292474540846,49.08770745638606,27.449955041
7,1190400,10096.930533,8.481964493447581,206.14705142749986,5.106721557877936,48.95508736213255,24.772227022
7,1305600,11078.613844,8.48545790747549,229.2746665313635,5.176818391569908,48.2922098266201,22.579112075
7,1401600,11895.132512,8.48682399543379,248.75427715069995,5.231262710480953,47.7896090936361,21.029840252
7,1516800,12866.038804,8.482356806434598,283.8003660040525,5.5180946601048815,45.305493181816544,19.443578378
7,1632000,13844.279544,8.48301442647059,321.02403254855534,5.8009783691667565,43.09617862545308,18.070230827
7,1747200,14814.814815,8.479175145947801,349.76584327068736,5.906237749964971,42.32813011997065,16.886262234
7,1862400,15807.777426,8.48785299935567,383.60403707453327,6.071616386992394,41.17519686118358,15.827821921
7,1977600,16761.649346,8.475753107807442,433.9631534354284,6.477655926855712,38.594207970127755,14.926741765
7,2073600,17569.751915,8.473067088638118,468.3899833270712,6.6707957714026795,37.47678816247616,14.241969318
7,2169600,18409.425626,8.485170365966077,604.9841399856921,8.222680566247888,30.40371056443436,13.591563849
7,2265600,19207.129687,8.477723202242233,600.1929192514165,7.8194753068643985,31.97145462951142,13.028269838
7,2361600,20049.723314,8.489889614668021,651.6414029434166,8.132741221507334,30.739942805368724,12.480393641
7,2457600,20831.597367,8.476398668212891,678.3656713327271,8.149803308865435,30.675586946748464,12.013879318
7,2553600,21656.271656,8.480682822681706,724.8133502701816,8.376388983794557,29.845796378805275,11.556615204
7,2649600,22488.081317,8.487349530872585,769.736937682909,8.567229442569213,29.18096237247825,11.130074475
7,2745600,23270.967141,8.475731039117134,859.9307363848,9.248635774318133,27.031013665194482,10.75509385
7,2841600,24101.031524,8.481500395551803,912.4793498229998,9.475656917982494,26.383395068426417,10.384516559
